encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E0_TFIDF,frozen,participant,01,no_augmentation,PHQ9,42,test,confirmatory,5.516717,4.566523,-0.007997,0.195417,0.293233,"[[0, 7, 2, 0], [0, 3, 8, 1], [0, 1, 13, 0], [0, 2, 11, 0]]",0.689655,0.573192,"[[10, 11], [7, 20]]",LightGBM,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:28:27,
E0_TFIDF,frozen,participant,01,no_augmentation,GAD7,42,test,confirmatory,4.776037,3.960613,0.098843,0.242836,0.309735,"[[1, 10, 1, 0], [0, 13, 4, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.296296,0.644283,"[[25, 4], [15, 4]]",LightGBM,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:29:30,
E0_TFIDF,frozen,participant,01,no_augmentation,PHQ9,43,test,confirmatory,5.786548,4.780532,-0.109014,0.191667,0.13797,"[[0, 7, 1, 1], [0, 4, 6, 2], [0, 3, 10, 1], [0, 4, 9, 0]]",0.615385,0.598765,"[[12, 9], [11, 16]]",AdaBoost,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:30:35,
E0_TFIDF,frozen,participant,01,no_augmentation,GAD7,43,test,confirmatory,4.788944,3.972204,0.093966,0.209286,0.284116,"[[0, 11, 1, 0], [0, 12, 5, 0], [0, 8, 5, 0], [0, 2, 4, 0]]",0.413793,0.640653,"[[25, 4], [13, 6]]",LightGBM,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:31:41,
E0_TFIDF,frozen,participant,01,no_augmentation,PHQ9,44,test,confirmatory,5.794255,5.026997,-0.11197,0.237469,0.180672,"[[0, 6, 2, 1], [0, 4, 6, 2], [0, 2, 9, 3], [0, 4, 7, 2]]",0.714286,0.647266,"[[12, 9], [7, 20]]",GradientBoosting,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:32:42,
E0_TFIDF,frozen,participant,01,no_augmentation,GAD7,44,test,confirmatory,4.80854,4.023992,0.086536,0.232339,0.251089,"[[1, 9, 2, 0], [0, 12, 5, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.387097,0.62069,"[[23, 6], [13, 6]]",LightGBM,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:33:44,
E0_TFIDF,frozen,participant,01,no_augmentation,PHQ9,45,test,confirmatory,5.895059,4.953157,-0.150997,0.148601,0.151796,"[[0, 5, 4, 0], [0, 3, 7, 2], [0, 4, 8, 2], [0, 2, 11, 0]]",0.631579,0.550265,"[[9, 12], [9, 18]]",GradientBoosting,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:34:47,
E0_TFIDF,frozen,participant,01,no_augmentation,GAD7,45,test,confirmatory,4.830273,3.892857,0.07826,0.203704,0.148805,"[[0, 11, 1, 0], [0, 13, 4, 0], [0, 9, 4, 0], [0, 4, 2, 0]]",0.413793,0.603448,"[[25, 4], [13, 6]]",AdaBoost,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:35:46,
E0_TFIDF,frozen,participant,01,no_augmentation,PHQ9,46,test,confirmatory,6.128847,5.099097,-0.244101,0.234273,0.060086,"[[1, 5, 2, 1], [0, 3, 7, 2], [0, 5, 8, 1], [0, 6, 6, 1]]",0.603774,0.550265,"[[11, 10], [11, 16]]",GradientBoosting,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:36:44,
E0_TFIDF,frozen,participant,01,no_augmentation,GAD7,46,test,confirmatory,4.906283,3.96358,0.049023,0.173611,0.000771,"[[0, 10, 2, 0], [0, 12, 5, 0], [0, 10, 3, 0], [0, 5, 1, 0]]",0.086957,0.57441,"[[26, 3], [18, 1]]",AdaBoost,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:37:43,
E1_BETO,frozen,participant,01,no_augmentation,PHQ9,42,test,confirmatory,4.937124,3.965377,0.192679,0.295192,0.285633,"[[1, 5, 3, 0], [0, 3, 8, 1], [0, 3, 11, 0], [0, 3, 8, 2]]",0.678571,0.677249,"[[11, 10], [8, 19]]",SVR,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:39:54,
E1_BETO,frozen,participant,01,no_augmentation,GAD7,42,test,confirmatory,4.45739,3.649012,0.215078,0.238816,0.365714,"[[1, 10, 1, 0], [0, 11, 6, 0], [0, 8, 5, 0], [0, 1, 5, 0]]",0.484848,0.718693,"[[23, 6], [11, 8]]",SVR,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:42:00,
E1_BETO,frozen,participant,01,no_augmentation,PHQ9,43,test,confirmatory,6.034195,4.991144,-0.20597,0.137037,0.081897,"[[0, 5, 3, 1], [0, 2, 8, 2], [0, 5, 6, 3], [0, 3, 9, 1]]",0.596491,0.536155,"[[8, 13], [10, 17]]",GradientBoosting,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:44:11,
E1_BETO,frozen,participant,01,no_augmentation,GAD7,43,test,confirmatory,4.406657,3.587209,0.232845,0.301536,0.38674,"[[2, 8, 2, 0], [0, 12, 5, 0], [0, 7, 6, 0], [0, 1, 5, 0]]",0.484848,0.718693,"[[23, 6], [11, 8]]",SVR,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:46:27,
E1_BETO,frozen,participant,01,no_augmentation,PHQ9,44,test,confirmatory,4.937164,3.965366,0.192666,0.295192,0.285633,"[[1, 5, 3, 0], [0, 3, 8, 1], [0, 3, 11, 0], [0, 3, 8, 2]]",0.678571,0.677249,"[[11, 10], [8, 19]]",SVR,,,random50,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 50, ""seeds"": [42, 43, 44, 45, 46], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-08T12:48:33,
